test_id,adult_females,adult_males,juveniles,pups,subadult_males
63,61.0,10.0,25.0,31.0,6.0
64,19.0,5.0,13.0,7.0,6.0
65,11.0,5.0,8.0,7.0,4.0
66,13.0,5.0,10.0,10.0,5.0
67,15.0,5.0,10.0,6.0,10.0
68,13.0,4.0,10.0,5.0,6.0
69,32.0,5.0,12.0,8.0,5.0
70,13.0,5.0,8.0,7.0,6.0
71,13.0,5.0,13.0,6.0,5.0
72,15.0,4.0,22.0,5.0,5.0
73,14.0,5.0,9.0,8.0,5.0
74,14.0,5.0,8.0,6.0,4.0
75,18.0,6.0,10.0,17.0,6.0
76,27.0,6.0,13.0,6.0,5.0
77,13.0,4.0,11.0,5.0,4.0
78,13.0,4.0,9.0,5.0,4.0
79,13.0,5.0,13.0,6.0,6.0
80,65.0,11.0,12.0,37.0,6.0
81,13.0,5.0,10.0,5.0,5.0
82,39.0,13.0,36.0,30.0,8.0
83,14.0,5.0,13.0,5.0,4.0
84,13.0,5.0,8.0,5.0,5.0
85,36.0,7.0,14.0,12.0,5.0
86,33.0,10.0,11.0,24.0,7.0
87,20.0,6.0,11.0,7.0,5.0
88,23.0,7.0,14.0,8.0,8.0
89,19.0,6.0,19.0,10.0,6.0
90,15.0,6.0,8.0,9.0,4.0
91,13.0,4.0,10.0,6.0,6.0
92,16.0,5.0,11.0,7.0,5.0
93,42.0,10.0,105.0,27.0,7.0
94,42.0,8.0,12.0,11.0,6.0
95,18.0,5.0,10.0,8.0,4.0
96,15.0,6.0,12.0,18.0,7.0
97,14.0,4.0,10.0,6.0,5.0
98,17.0,5.0,10.0,6.0,5.0
99,13.0,4.0,8.0,6.0,5.0
100,21.0,5.0,12.0,7.0,5.0
101,34.0,10.0,12.0,17.0,5.0
102,12.0,5.0,8.0,5.0,5.0
103,23.0,5.0,11.0,12.0,4.0
104,13.0,4.0,10.0,5.0,5.0
105,19.0,5.0,16.0,12.0,5.0
106,36.0,7.0,15.0,8.0,5.0
107,57.0,11.0,11.0,37.0,6.0
108,25.0,6.0,13.0,18.0,6.0
109,19.0,5.0,10.0,7.0,5.0
110,13.0,5.0,9.0,6.0,5.0
111,14.0,4.0,11.0,5.0,5.0
112,37.0,9.0,11.0,22.0,6.0
113,12.0,4.0,9.0,5.0,5.0
114,14.0,5.0,9.0,7.0,5.0
115,13.0,5.0,10.0,7.0,6.0
116,11.0,5.0,9.0,5.0,9.0
117,52.0,8.0,33.0,27.0,10.0
118,31.0,7.0,12.0,17.0,4.0
119,21.0,6.0,9.0,9.0,4.0
120,13.0,5.0,9.0,5.0,4.0
121,34.0,9.0,76.0,14.0,9.0
122,13.0,5.0,8.0,5.0,5.0
123,17.0,5.0,14.0,7.0,6.0
124,13.0,4.0,12.0,5.0,5.0
125,24.0,5.0,14.0,14.0,6.0
126,12.0,5.0,9.0,6.0,5.0
127,29.0,7.0,14.0,20.0,5.0
128,68.0,9.0,29.0,20.0,9.0
129,19.0,6.0,8.0,6.0,6.0
130,26.0,9.0,14.0,11.0,6.0
131,13.0,4.0,11.0,5.0,5.0
132,16.0,5.0,16.0,6.0,5.0
133,17.0,6.0,10.0,7.0,6.0
134,49.0,7.0,15.0,19.0,6.0
135,14.0,5.0,9.0,6.0,5.0
136,13.0,5.0,9.0,8.0,6.0
137,13.0,4.0,8.0,7.0,5.0
138,14.0,5.0,14.0,10.0,10.0
139,40.0,9.0,13.0,23.0,5.0
140,13.0,4.0,10.0,5.0,4.0
141,22.0,6.0,16.0,9.0,5.0
142,14.0,5.0,12.0,7.0,5.0
143,13.0,5.0,8.0,5.0,4.0
144,24.0,7.0,35.0,8.0,8.0
145,15.0,6.0,12.0,9.0,6.0
146,13.0,5.0,9.0,5.0,5.0
147,16.0,5.0,23.0,6.0,7.0
148,15.0,5.0,11.0,10.0,5.0
149,27.0,8.0,15.0,37.0,7.0
150,34.0,8.0,12.0,12.0,5.0
151,13.0,4.0,11.0,6.0,5.0
152,16.0,6.0,12.0,7.0,5.0
153,14.0,5.0,9.0,7.0,4.0
154,15.0,4.0,12.0,5.0,4.0
155,15.0,5.0,16.0,13.0,5.0
156,11.0,5.0,10.0,5.0,5.0
157,19.0,5.0,16.0,7.0,5.0
158,13.0,4.0,10.0,5.0,4.0
159,13.0,4.0,9.0,5.0,5.0
160,15.0,5.0,12.0,5.0,5.0
161,23.0,7.0,11.0,20.0,6.0
162,65.0,14.0,40.0,44.0,9.0
163,65.0,11.0,19.0,23.0,9.0
164,13.0,5.0,10.0,8.0,5.0
165,13.0,5.0,9.0,5.0,5.0
166,46.0,12.0,36.0,20.0,6.0
167,21.0,5.0,10.0,5.0,5.0
168,21.0,6.0,12.0,9.0,8.0
169,35.0,7.0,13.0,9.0,6.0
170,12.0,5.0,9.0,5.0,4.0
171,16.0,5.0,11.0,5.0,5.0
172,17.0,8.0,10.0,12.0,5.0
173,14.0,5.0,11.0,6.0,10.0
174,18.0,5.0,8.0,9.0,5.0
175,76.0,15.0,32.0,35.0,10.0
176,54.0,12.0,13.0,49.0,6.0
177,16.0,5.0,10.0,7.0,4.0
178,50.0,7.0,29.0,21.0,7.0
179,89.0,14.0,25.0,50.0,9.0
180,16.0,5.0,12.0,6.0,7.0
181,34.0,7.0,14.0,10.0,5.0
182,14.0,5.0,12.0,5.0,4.0
183,22.0,6.0,12.0,9.0,6.0
184,14.0,5.0,15.0,9.0,5.0
185,15.0,5.0,8.0,12.0,5.0
186,38.0,7.0,15.0,21.0,7.0
187,13.0,5.0,8.0,5.0,8.0
188,23.0,6.0,10.0,14.0,5.0
189,17.0,5.0,12.0,9.0,6.0
190,12.0,5.0,10.0,5.0,5.0
191,12.0,5.0,8.0,7.0,5.0
192,15.0,5.0,8.0,6.0,5.0
193,13.0,5.0,12.0,5.0,5.0
194,17.0,5.0,13.0,6.0,4.0
195,14.0,5.0,12.0,5.0,5.0
196,13.0,4.0,8.0,5.0,4.0
197,50.0,9.0,13.0,28.0,6.0
198,13.0,5.0,11.0,5.0,5.0
199,14.0,6.0,13.0,7.0,5.0
200,14.0,5.0,9.0,7.0,5.0
201,32.0,6.0,16.0,10.0,5.0
202,11.0,5.0,9.0,7.0,5.0
203,13.0,4.0,9.0,5.0,4.0
204,33.0,8.0,12.0,13.0,7.0
205,17.0,5.0,14.0,7.0,4.0
206,16.0,5.0,9.0,7.0,5.0
207,16.0,5.0,10.0,6.0,4.0
208,13.0,4.0,10.0,5.0,4.0
209,23.0,5.0,10.0,5.0,5.0
210,15.0,6.0,11.0,8.0,6.0
211,17.0,6.0,12.0,9.0,6.0
212,18.0,6.0,12.0,9.0,5.0
213,14.0,5.0,13.0,5.0,5.0
214,18.0,4.0,17.0,6.0,5.0
215,17.0,4.0,11.0,5.0,5.0
216,18.0,5.0,12.0,11.0,7.0
217,13.0,5.0,9.0,5.0,4.0
218,15.0,6.0,10.0,9.0,5.0
219,13.0,4.0,10.0,7.0,6.0
220,19.0,7.0,10.0,7.0,5.0
221,13.0,5.0,8.0,7.0,5.0
222,11.0,4.0,12.0,6.0,6.0
223,16.0,5.0,16.0,9.0,7.0
224,19.0,5.0,11.0,20.0,6.0
225,12.0,5.0,10.0,5.0,4.0
226,13.0,5.0,11.0,5.0,4.0
227,24.0,5.0,14.0,9.0,6.0
228,16.0,5.0,13.0,6.0,4.0
229,13.0,5.0,11.0,7.0,6.0
230,15.0,5.0,10.0,6.0,5.0
231,25.0,5.0,32.0,5.0,5.0
232,15.0,4.0,12.0,5.0,7.0
233,11.0,5.0,9.0,5.0,5.0
234,16.0,5.0,9.0,6.0,8.0
235,48.0,10.0,14.0,49.0,6.0
236,13.0,4.0,14.0,5.0,5.0
237,14.0,5.0,9.0,6.0,4.0
238,20.0,8.0,11.0,8.0,6.0
239,25.0,7.0,13.0,14.0,5.0
240,22.0,6.0,10.0,12.0,5.0
241,12.0,5.0,9.0,5.0,5.0
242,17.0,5.0,9.0,6.0,5.0
243,13.0,4.0,10.0,5.0,5.0
244,13.0,4.0,10.0,5.0,5.0
245,20.0,5.0,10.0,7.0,4.0
246,14.0,4.0,9.0,5.0,4.0
247,56.0,13.0,34.0,52.0,7.0
248,20.0,6.0,13.0,19.0,10.0
249,29.0,7.0,38.0,7.0,6.0
250,16.0,5.0,19.0,5.0,5.0
251,21.0,8.0,11.0,21.0,5.0
252,23.0,6.0,14.0,14.0,6.0
253,46.0,11.0,13.0,50.0,7.0
254,18.0,5.0,10.0,8.0,5.0
255,42.0,7.0,17.0,11.0,5.0
256,21.0,7.0,11.0,20.0,5.0
257,12.0,5.0,9.0,7.0,4.0
258,47.0,13.0,13.0,45.0,6.0
259,43.0,9.0,16.0,22.0,6.0
260,34.0,6.0,17.0,33.0,5.0
261,14.0,4.0,9.0,5.0,5.0
262,14.0,5.0,14.0,9.0,5.0
263,13.0,5.0,8.0,7.0,4.0
264,21.0,5.0,11.0,7.0,5.0
265,13.0,5.0,8.0,10.0,5.0
266,24.0,7.0,12.0,14.0,6.0
267,14.0,5.0,8.0,5.0,5.0
268,65.0,7.0,16.0,33.0,7.0
269,34.0,6.0,10.0,14.0,5.0
270,14.0,5.0,9.0,5.0,4.0
271,28.0,7.0,13.0,22.0,6.0
272,13.0,5.0,8.0,5.0,4.0
273,70.0,7.0,23.0,22.0,9.0
274,23.0,6.0,11.0,15.0,6.0
275,28.0,12.0,14.0,24.0,7.0
276,12.0,5.0,11.0,5.0,5.0
277,18.0,5.0,13.0,6.0,6.0
278,13.0,4.0,10.0,7.0,5.0
279,30.0,9.0,13.0,21.0,7.0
280,21.0,5.0,21.0,6.0,6.0
281,17.0,5.0,9.0,6.0,5.0
282,15.0,5.0,26.0,7.0,7.0
283,13.0,5.0,11.0,5.0,5.0
284,40.0,11.0,13.0,30.0,7.0
285,17.0,6.0,13.0,6.0,5.0
286,19.0,5.0,10.0,5.0,5.0
287,15.0,5.0,10.0,11.0,5.0
288,14.0,4.0,9.0,5.0,6.0
289,21.0,8.0,11.0,7.0,6.0
290,12.0,4.0,10.0,5.0,5.0
291,19.0,6.0,9.0,23.0,6.0
292,38.0,6.0,14.0,13.0,6.0
293,12.0,5.0,9.0,5.0,10.0
294,11.0,4.0,8.0,5.0,4.0
295,33.0,8.0,13.0,16.0,5.0
296,16.0,5.0,12.0,6.0,5.0
297,12.0,5.0,9.0,7.0,6.0
298,30.0,6.0,43.0,10.0,9.0
299,13.0,5.0,9.0,5.0,4.0
300,45.0,12.0,11.0,39.0,7.0
301,20.0,6.0,12.0,10.0,6.0
302,21.0,6.0,12.0,15.0,6.0
303,12.0,5.0,9.0,5.0,4.0
304,15.0,5.0,10.0,5.0,5.0
305,14.0,5.0,11.0,7.0,5.0
306,72.0,17.0,31.0,36.0,13.0
307,18.0,5.0,9.0,6.0,4.0
308,12.0,4.0,10.0,5.0,5.0
309,26.0,8.0,9.0,14.0,5.0
310,18.0,6.0,32.0,5.0,6.0
311,20.0,6.0,23.0,6.0,7.0
312,12.0,5.0,9.0,6.0,6.0
313,22.0,7.0,9.0,14.0,6.0
314,13.0,5.0,8.0,5.0,5.0
315,24.0,6.0,70.0,22.0,6.0
316,19.0,6.0,11.0,5.0,5.0
317,33.0,7.0,15.0,10.0,5.0
318,14.0,5.0,11.0,5.0,5.0
319,13.0,5.0,8.0,6.0,7.0
320,14.0,5.0,11.0,6.0,6.0
321,14.0,5.0,14.0,6.0,4.0
322,31.0,7.0,13.0,10.0,7.0
323,13.0,5.0,12.0,5.0,6.0
324,12.0,5.0,9.0,5.0,5.0
325,13.0,5.0,8.0,7.0,5.0
326,13.0,4.0,10.0,5.0,4.0
327,19.0,6.0,8.0,11.0,5.0
328,13.0,4.0,10.0,5.0,5.0
329,14.0,5.0,9.0,5.0,4.0
330,18.0,5.0,23.0,5.0,5.0
331,31.0,7.0,14.0,9.0,7.0
332,20.0,7.0,12.0,7.0,7.0
333,27.0,8.0,10.0,11.0,5.0
334,26.0,5.0,14.0,11.0,6.0
335,13.0,5.0,11.0,6.0,7.0
336,13.0,4.0,10.0,5.0,5.0
337,53.0,10.0,15.0,48.0,8.0
338,15.0,5.0,11.0,7.0,7.0
339,13.0,5.0,8.0,5.0,5.0
340,28.0,7.0,32.0,7.0,7.0
341,68.0,8.0,39.0,27.0,10.0
342,19.0,5.0,36.0,5.0,5.0
343,32.0,8.0,14.0,20.0,9.0
344,87.0,15.0,34.0,71.0,9.0
345,13.0,5.0,10.0,5.0,7.0
346,12.0,5.0,9.0,5.0,5.0
347,14.0,4.0,12.0,5.0,4.0
348,13.0,6.0,9.0,5.0,5.0
349,13.0,5.0,9.0,5.0,4.0
350,20.0,6.0,8.0,7.0,5.0
351,17.0,7.0,11.0,6.0,5.0
352,12.0,5.0,10.0,5.0,7.0
353,41.0,9.0,31.0,11.0,5.0
354,29.0,6.0,13.0,8.0,6.0
355,20.0,5.0,10.0,8.0,6.0
356,14.0,5.0,10.0,5.0,4.0
357,22.0,5.0,17.0,9.0,5.0
358,21.0,5.0,10.0,7.0,4.0
359,13.0,5.0,10.0,5.0,5.0
360,21.0,5.0,10.0,7.0,4.0
361,36.0,9.0,11.0,21.0,6.0
362,16.0,5.0,10.0,7.0,6.0
363,16.0,5.0,10.0,8.0,5.0
364,19.0,6.0,15.0,8.0,8.0
365,13.0,5.0,10.0,5.0,5.0
366,13.0,5.0,11.0,7.0,6.0
367,14.0,5.0,9.0,5.0,5.0
368,21.0,6.0,13.0,17.0,5.0
369,13.0,4.0,9.0,5.0,4.0
370,17.0,5.0,10.0,16.0,5.0
371,13.0,4.0,11.0,5.0,6.0
372,12.0,5.0,9.0,6.0,8.0
373,19.0,6.0,9.0,11.0,5.0
374,12.0,5.0,8.0,6.0,5.0
375,18.0,5.0,12.0,6.0,5.0
376,49.0,8.0,63.0,15.0,8.0
377,13.0,5.0,8.0,5.0,5.0
378,14.0,5.0,9.0,5.0,5.0
379,14.0,5.0,10.0,5.0,4.0
380,21.0,5.0,10.0,8.0,5.0
381,15.0,4.0,12.0,5.0,5.0
382,19.0,5.0,12.0,13.0,8.0
383,14.0,5.0,9.0,5.0,5.0
384,14.0,5.0,10.0,5.0,4.0
385,21.0,6.0,27.0,6.0,7.0
386,36.0,8.0,21.0,13.0,9.0
387,34.0,6.0,14.0,7.0,6.0
388,15.0,5.0,10.0,5.0,4.0
389,23.0,7.0,10.0,19.0,5.0
390,17.0,6.0,13.0,7.0,5.0
391,13.0,5.0,8.0,5.0,5.0
392,22.0,6.0,13.0,11.0,4.0
393,13.0,6.0,10.0,6.0,5.0
394,19.0,5.0,9.0,7.0,5.0
395,15.0,5.0,10.0,11.0,5.0
396,31.0,6.0,13.0,7.0,6.0
397,22.0,6.0,9.0,5.0,5.0
398,45.0,6.0,25.0,14.0,9.0
399,17.0,5.0,11.0,5.0,6.0
400,14.0,4.0,9.0,6.0,4.0
401,11.0,4.0,10.0,5.0,5.0
402,47.0,13.0,11.0,36.0,9.0
403,15.0,5.0,23.0,6.0,7.0
404,22.0,5.0,11.0,10.0,6.0
405,13.0,5.0,11.0,5.0,5.0
406,14.0,5.0,9.0,5.0,5.0
407,17.0,5.0,11.0,5.0,5.0
408,13.0,4.0,10.0,5.0,4.0
409,19.0,6.0,8.0,16.0,8.0
410,18.0,7.0,12.0,10.0,8.0
411,36.0,8.0,13.0,8.0,5.0
412,14.0,5.0,9.0,7.0,4.0
413,53.0,9.0,73.0,19.0,7.0
414,14.0,5.0,10.0,6.0,5.0
415,12.0,5.0,10.0,9.0,5.0
416,23.0,7.0,17.0,10.0,8.0
417,27.0,6.0,14.0,7.0,5.0
418,15.0,5.0,10.0,8.0,5.0
419,18.0,5.0,17.0,5.0,5.0
420,14.0,5.0,8.0,5.0,4.0
421,14.0,5.0,11.0,10.0,5.0
422,14.0,5.0,11.0,6.0,6.0
423,13.0,4.0,10.0,5.0,4.0
424,17.0,4.0,19.0,6.0,7.0
425,21.0,5.0,27.0,5.0,6.0
426,24.0,5.0,15.0,8.0,5.0
427,21.0,7.0,10.0,7.0,5.0
428,25.0,5.0,12.0,6.0,4.0
429,14.0,6.0,9.0,11.0,5.0
430,28.0,6.0,27.0,9.0,6.0
431,37.0,5.0,15.0,14.0,8.0
432,16.0,4.0,12.0,7.0,7.0
433,83.0,13.0,20.0,44.0,7.0
434,16.0,5.0,8.0,8.0,6.0
435,22.0,5.0,13.0,9.0,5.0
436,13.0,4.0,8.0,5.0,4.0
437,34.0,10.0,71.0,30.0,9.0
438,12.0,5.0,8.0,7.0,7.0
439,13.0,4.0,9.0,6.0,5.0
440,13.0,4.0,8.0,7.0,5.0
441,13.0,4.0,9.0,5.0,4.0
442,57.0,16.0,13.0,40.0,6.0
443,22.0,5.0,18.0,6.0,6.0
444,13.0,4.0,10.0,5.0,4.0
445,21.0,6.0,12.0,12.0,6.0
446,14.0,5.0,10.0,5.0,4.0
447,33.0,9.0,15.0,9.0,6.0
448,13.0,5.0,14.0,5.0,5.0
449,12.0,5.0,16.0,5.0,6.0
450,13.0,6.0,8.0,8.0,5.0
451,17.0,5.0,10.0,6.0,5.0
452,12.0,5.0,9.0,5.0,5.0
453,12.0,5.0,8.0,8.0,4.0
454,16.0,5.0,21.0,6.0,5.0
455,17.0,5.0,13.0,8.0,7.0
456,27.0,8.0,12.0,9.0,9.0
457,14.0,6.0,11.0,7.0,5.0
458,38.0,7.0,13.0,9.0,5.0
459,12.0,5.0,9.0,7.0,6.0
460,41.0,6.0,13.0,12.0,5.0
461,11.0,5.0,9.0,5.0,4.0
462,18.0,5.0,9.0,6.0,4.0
463,17.0,5.0,11.0,9.0,5.0
464,22.0,7.0,9.0,17.0,6.0
465,17.0,6.0,15.0,9.0,6.0
466,13.0,6.0,10.0,8.0,5.0
467,17.0,5.0,12.0,5.0,5.0
468,42.0,8.0,12.0,23.0,6.0
469,13.0,5.0,10.0,5.0,5.0
470,16.0,6.0,13.0,9.0,6.0
471,18.0,6.0,15.0,10.0,6.0
472,14.0,4.0,13.0,5.0,5.0
473,50.0,10.0,21.0,26.0,7.0
474,17.0,5.0,12.0,5.0,5.0
475,13.0,5.0,9.0,7.0,5.0
476,14.0,5.0,10.0,5.0,4.0
477,11.0,5.0,8.0,6.0,5.0
478,14.0,5.0,11.0,5.0,5.0
479,13.0,5.0,10.0,5.0,5.0
480,14.0,5.0,8.0,5.0,4.0
481,13.0,6.0,10.0,10.0,6.0
482,13.0,4.0,9.0,5.0,4.0
483,13.0,4.0,9.0,5.0,5.0
484,27.0,9.0,13.0,48.0,7.0
485,49.0,15.0,111.0,36.0,10.0
486,13.0,5.0,9.0,5.0,5.0
487,83.0,14.0,65.0,67.0,10.0
488,13.0,5.0,8.0,6.0,4.0
489,17.0,6.0,12.0,6.0,6.0
490,13.0,5.0,7.0,5.0,5.0
491,28.0,7.0,29.0,11.0,7.0
492,14.0,5.0,11.0,5.0,5.0
493,14.0,5.0,11.0,6.0,5.0
494,14.0,7.0,11.0,10.0,6.0
495,13.0,5.0,7.0,8.0,5.0
496,80.0,10.0,13.0,52.0,7.0
497,15.0,5.0,10.0,6.0,5.0
498,15.0,5.0,8.0,7.0,4.0
499,11.0,5.0,10.0,5.0,5.0
500,23.0,7.0,14.0,7.0,5.0
501,28.0,10.0,32.0,11.0,5.0
502,14.0,5.0,17.0,14.0,7.0
503,22.0,6.0,13.0,11.0,5.0
504,14.0,5.0,9.0,6.0,5.0
505,15.0,4.0,12.0,5.0,5.0
506,15.0,5.0,9.0,9.0,6.0
507,15.0,5.0,10.0,7.0,5.0
508,22.0,4.0,10.0,6.0,5.0
509,39.0,7.0,15.0,11.0,5.0
510,21.0,6.0,13.0,8.0,6.0
511,14.0,4.0,10.0,5.0,5.0
512,14.0,4.0,13.0,5.0,4.0
513,56.0,7.0,9.0,25.0,6.0
514,15.0,5.0,10.0,8.0,5.0
515,13.0,5.0,10.0,5.0,5.0
516,16.0,5.0,10.0,6.0,6.0
517,12.0,4.0,11.0,8.0,6.0
518,13.0,5.0,10.0,15.0,7.0
519,13.0,5.0,9.0,8.0,5.0
520,21.0,6.0,22.0,8.0,7.0
521,19.0,6.0,13.0,10.0,8.0
522,12.0,5.0,7.0,6.0,5.0
523,12.0,5.0,9.0,9.0,5.0
524,13.0,6.0,8.0,8.0,5.0
525,19.0,5.0,10.0,12.0,5.0
526,36.0,8.0,16.0,19.0,7.0
527,13.0,5.0,9.0,5.0,4.0
528,13.0,5.0,7.0,8.0,4.0
529,14.0,4.0,9.0,5.0,5.0
530,23.0,6.0,14.0,6.0,5.0
531,14.0,4.0,10.0,10.0,5.0
532,11.0,5.0,8.0,6.0,4.0
533,39.0,5.0,30.0,9.0,5.0
534,24.0,7.0,10.0,27.0,6.0
535,16.0,5.0,12.0,5.0,5.0
536,13.0,4.0,9.0,5.0,5.0
537,21.0,8.0,15.0,19.0,6.0
538,12.0,4.0,8.0,5.0,9.0
539,14.0,6.0,11.0,7.0,5.0
540,13.0,4.0,9.0,5.0,4.0
541,13.0,5.0,12.0,5.0,6.0
542,35.0,9.0,14.0,36.0,7.0
543,29.0,9.0,11.0,21.0,6.0
544,12.0,5.0,12.0,7.0,7.0
545,12.0,5.0,9.0,6.0,5.0
546,17.0,5.0,16.0,5.0,4.0
547,19.0,5.0,8.0,11.0,4.0
548,19.0,6.0,12.0,9.0,6.0
549,14.0,4.0,9.0,5.0,4.0
550,13.0,5.0,8.0,6.0,5.0
551,27.0,7.0,13.0,11.0,7.0
552,12.0,4.0,10.0,6.0,4.0
553,13.0,5.0,8.0,6.0,5.0
554,13.0,4.0,10.0,5.0,4.0
555,27.0,8.0,23.0,12.0,8.0
556,16.0,6.0,10.0,8.0,6.0
557,14.0,4.0,10.0,5.0,5.0
558,48.0,8.0,20.0,31.0,8.0
559,23.0,6.0,8.0,13.0,8.0
560,46.0,10.0,35.0,41.0,6.0
561,14.0,5.0,8.0,8.0,4.0
562,14.0,4.0,10.0,5.0,5.0
563,13.0,5.0,8.0,6.0,4.0
564,23.0,6.0,13.0,33.0,7.0
565,14.0,5.0,9.0,6.0,5.0
566,13.0,5.0,9.0,5.0,4.0
567,12.0,5.0,8.0,5.0,5.0
568,17.0,4.0,12.0,5.0,5.0
569,23.0,10.0,12.0,26.0,8.0
570,16.0,5.0,11.0,6.0,5.0
571,16.0,5.0,8.0,6.0,4.0
572,12.0,5.0,9.0,5.0,4.0
573,14.0,5.0,10.0,6.0,7.0
574,23.0,8.0,13.0,15.0,8.0
575,33.0,8.0,19.0,14.0,7.0
576,17.0,5.0,15.0,9.0,5.0
577,13.0,4.0,8.0,6.0,4.0
578,26.0,6.0,21.0,8.0,7.0
579,60.0,8.0,28.0,21.0,6.0
580,13.0,5.0,8.0,5.0,5.0
581,13.0,4.0,10.0,5.0,4.0
582,14.0,5.0,20.0,9.0,4.0
583,14.0,5.0,10.0,9.0,5.0
584,21.0,5.0,12.0,6.0,5.0
585,14.0,5.0,10.0,10.0,5.0
586,16.0,6.0,13.0,6.0,6.0
587,41.0,12.0,11.0,54.0,6.0
588,12.0,5.0,7.0,6.0,5.0
589,15.0,7.0,9.0,11.0,6.0
590,14.0,7.0,9.0,13.0,5.0
591,27.0,8.0,12.0,9.0,5.0
592,13.0,6.0,11.0,7.0,8.0
593,19.0,7.0,15.0,7.0,6.0
594,13.0,4.0,10.0,5.0,4.0
595,14.0,5.0,10.0,5.0,4.0
596,18.0,6.0,14.0,7.0,5.0
597,12.0,5.0,9.0,5.0,5.0
598,12.0,5.0,8.0,5.0,4.0
599,15.0,5.0,12.0,8.0,5.0
600,15.0,6.0,9.0,8.0,5.0
601,12.0,5.0,8.0,6.0,5.0
602,27.0,7.0,12.0,11.0,4.0
603,15.0,5.0,10.0,5.0,4.0
604,15.0,5.0,11.0,6.0,5.0
605,14.0,5.0,8.0,8.0,5.0
606,26.0,8.0,12.0,9.0,6.0
607,12.0,5.0,11.0,8.0,7.0
608,31.0,6.0,9.0,8.0,6.0
609,14.0,5.0,9.0,8.0,5.0
610,12.0,5.0,9.0,5.0,7.0
611,15.0,5.0,9.0,6.0,5.0
612,33.0,7.0,13.0,17.0,5.0
613,13.0,4.0,10.0,5.0,7.0
614,13.0,4.0,10.0,5.0,8.0
615,14.0,6.0,8.0,9.0,4.0
616,13.0,4.0,11.0,5.0,4.0
617,26.0,9.0,15.0,17.0,6.0
618,19.0,6.0,14.0,7.0,5.0
619,32.0,7.0,13.0,11.0,5.0
620,14.0,5.0,8.0,6.0,4.0
621,12.0,5.0,9.0,5.0,5.0
622,15.0,5.0,9.0,9.0,5.0
623,14.0,5.0,10.0,6.0,5.0
624,14.0,4.0,10.0,5.0,5.0
625,18.0,6.0,12.0,7.0,5.0
626,13.0,5.0,8.0,5.0,5.0
627,22.0,6.0,13.0,16.0,6.0
628,24.0,5.0,71.0,22.0,6.0
629,44.0,9.0,13.0,24.0,6.0
630,18.0,6.0,16.0,7.0,6.0
631,13.0,4.0,9.0,6.0,5.0
632,13.0,4.0,9.0,5.0,4.0
